longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,NEAR BAY
-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,NEAR BAY
-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,NEAR BAY
-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0,NEAR BAY
-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,NEAR BAY
-118.32,34.05,47.0,1905.0,422.0,1051.0,402.0,2.9464,188100.0,<1H OCEAN
-118.33,34.06,45.0,2073.0,503.0,1202.0,486.0,2.1583,213800.0,<1H OCEAN
-114.56,33.69,17.0,720.0,,333.0,117.0,1.6509,85700.0,INLAND
-114.57,33.64,14.0,1501.0,337.0,515.0,226.0,3.1917,73400.0,INLAND
-114.58,33.68,26.0,1455.0,344.0,831.0,282.0,2.0296,89400.0,INLAND
